Open,High,Low,Close,Volume,Returns,Rolling Mean,Rolling Std,Upper Band,Lower Band,MACD,Signal Line
7.201070785522461,7.28178596496582,7.175714015960693,7.247499942779541,422825200,0.0018759909348637915,-0.0016111159881404102,0.02110007030723816,0.04058902462633591,-0.043811256602616734,-0.02615277286666906,-0.06125227859827692
7.209286212921143,7.257143020629883,7.182499885559082,7.202499866485596,415469600,-0.006209048175126575,-0.0012878734461941248,0.020947248577297035,0.040606623708399944,-0.043182370600788195,-0.01956903969157331,-0.052909020606935836
7.226428985595703,7.232142925262451,7.11392879486084,7.1578569412231445,390563600,-0.006198254229782374,-0.0014328582676357874,0.02096630807133622,0.04049975787503665,-0.04336547441030823,-0.017502893935197328,-0.04582330416623859
7.142857074737549,7.190357208251953,6.989643096923828,7.037857055664063,575094800,-0.016764778416844872,-0.002213295230447602,0.02109051581147168,0.039967736392495755,-0.04439432685339096,-0.024620964453889727,-0.04158068496025561
7.0796427726745605,7.194285869598389,7.065713882446289,7.166429042816162,460566400,0.018268627244798052,-0.0013102918467330805,0.021375835957359052,0.04144138006798503,-0.04406196376145118,-0.020280974914192562,-0.03731901421200876
7.049285888671875,7.244999885559082,7.03178596496582,7.214285850524902,665126000,0.006677915517312449,-0.0007085237810044961,0.021336799472743754,0.041965075164483015,-0.043382122726492,-0.013053784822069758,-0.03246439291934051
7.2278571128845215,7.327499866485596,7.214285850524902,7.307857036590576,507460800,0.01297026317010519,-0.0007463659741157369,0.02131061046493157,0.0418748549557474,-0.04336758690397888,-0.00018172529206683663,-0.02600618274666621
7.348214149475098,7.482142925262451,7.337500095367432,7.463929176330566,550093600,0.021356758754109917,0.00015857732350340603,0.02166249587789597,0.04348356907929535,-0.04316641443228854,0.021729110753712533,-0.016457140788167936
7.497499942779541,7.529643058776855,7.419285774230957,7.458929061889648,566546400,-0.0006699037896520377,0.0006933147925436682,0.021428420411783666,0.043550155616111,-0.04216352603102366,0.03824656445588115,-0.005514581594854961
7.4621429443359375,7.495357036590576,7.42642879486084,7.476070880889893,372052800,0.002298160883152489,-0.0007046901288920308,0.019795432560862355,0.03888617499283268,-0.04029555525061674,0.05204538078176224,0.005998941290163365
7.474286079406738,7.532856941223144,7.451070785522461,7.525356769561768,366041200,0.006592485472262988,2.8139491914018026e-05,0.01963926752460859,0.0393066745411312,-0.03925039555730316,0.06602710458395755,0.018005850742537157
7.67642879486084,7.846428871154785,7.6653571128845215,7.819643020629883,899620400,0.03910595338927081,0.0019078815617224946,0.020600139398050613,0.04310816035782372,-0.03929239723437873,0.09883675558820038,0.034173407095255556
7.857500076293945,7.86035680770874,7.794642925262451,7.824285984039307,429889600,0.0005937564409492779,0.0035809605412178186,0.018167267556657072,0.039915495654531966,-0.03275357457209632,0.12374971390911416,0.052089887790518846
7.796785831451416,8.035714149475098,7.78178596496582,7.965000152587891,920259200,0.01798428237868932,0.00328368118819851,0.01784255019771273,0.03896878158362397,-0.03240141920722695,0.15271271296079725,0.07221554856977225
7.993928909301758,8.052857398986816,7.971428871154785,8.029999732971191,596218000,0.008160650237047706,0.0030846011229330172,0.01775040389911269,0.038585408921158394,-0.03241620667529236,0.17867815176775714,0.0935089966698389
7.996786117553711,8.053570747375488,7.975714206695557,8.053570747375488,405700400,0.002935369263776577,0.0028684387459394314,0.017710028793926757,0.03828849633379294,-0.032551618841914085,0.19879590928663493,0.11456711296145712
8.120356559753418,8.133213996887207,8.0625,8.092857360839844,416323600,0.004878160842773704,0.004408442845028563,0.015620286931834645,0.035649016708697856,-0.026832131018640726,0.21533191125665319,0.13472063441867993
8.049285888671875,8.053570747375488,7.8660712242126465,7.994286060333252,493502800,-0.012180036804252059,0.005211733284839374,0.013990365257135227,0.033192463799109825,-0.02276899722943108,0.21813705540555173,0.15140429067402142
8.006428718566895,8.03499984741211,7.946785926818848,8.016071319580078,446908000,0.0027251037906839137,0.004839174210487218,0.013899491454799408,0.03263815712008603,-0.0229598086991116,0.21954024747153955,0.16503172515508033
8.032142639160156,8.087499618530273,7.973928928375244,8.00428581237793,450956800,-0.0014702348235551277,0.0045967363047233365,0.013945456069553901,0.03248764844383114,-0.023294175834384465,0.2172077816942375,0.1754670854013501
8.003570556640625,8.035714149475098,7.950356960296631,8.023214340209961,342109600,0.0023647990933506335,0.004102024515818518,0.013744514357002831,0.03159105322982418,-0.023387004198187143,0.2143805733718951,0.18324987185917122
8.028214454650879,8.044285774230957,7.901071071624756,7.9375,559445600,-0.0106832918298575,0.004947202686515969,0.011838484386692225,0.02862417145990042,-0.01872976608686848,0.20299473545125934,0.18719888064935641
7.873929023742676,8.071429252624512,7.862500190734863,8.026785850524902,456419600,0.011248611089751392,0.00473030167355987,0.01165389076178382,0.02803808319712751,-0.01857747985000777,0.19876783912992746,0.18951268925364592
8.058570861816406,8.170714378356934,8.003570556640625,8.15571403503418,602431200,0.016062242958786,0.0054942289407417895,0.01161932803318127,0.02873288500710433,-0.01774442712562075,0.20332166219166048,0.19227449998681248
8.130000114440918,8.221428871154785,8.125356674194336,8.19178581237793,597780400,0.004422884028154828,0.0052862069082528955,0.011579384908221245,0.028444976724695384,-0.017872562908189595,0.20740540297881704,0.19530069473813685
8.247142791748047,8.248929023742676,8.08035659790039,8.094642639160156,542284400,-0.01185860756649526,0.005072718435637473,0.011840329665545275,0.028753377766728025,-0.018607940895453076,0.2005833704496256,0.19635723383341663
